class,x1,x2
2,-9.493407751,-9.245232418
7,-9.249577645,3.891453734
5,-0.919028641,2.590941777
7,-9.303558608,4.288016872
5,-1.930294039,3.919530243
4,-4.141885178,1.070696247
0,-0.771858237,4.59867038
3,-5.956312388,-3.257044974
7,-7.864391583,2.160620063
3,-5.927753709,-2.442323797
0,-1.589520891,4.963032105
1,-9.057217535,-3.405685319
6,-6.912037867,8.22037956
5,-3.569749665,3.150447532
1,-10.25127515,-2.102628576
1,-10.65074991,-4.734340357
0,-1.296417428,4.94071054
2,-7.522957234,-8.303065464
1,-10.76402259,-3.052555266
7,-7.616543097,4.846444912
5,-2.416507535,3.813519466
0,-2.650117165,5.436741208
5,-1.161282615,4.167768362
2,-7.118313296,-6.849137641
2,-7.391233062,-9.489868911
5,-2.486420846,4.800334638
7,-9.153874079,2.47175695
7,-8.947421883,2.579857055
5,-1.342878929,2.983681672
5,0.824645175,2.716056239
6,-4.498175046,7.231299747
1,-9.390756009,-4.603501262
1,-9.521720733,-5.966726407
2,-6.346624768,-8.24496694
5,-1.124052473,3.274746512
7,-10.41752091,3.670387431
4,-1.363107836,-0.201336136
7,-9.759727062,2.894526905
0,-1.278414987,4.47609593
4,-0.661831086,2.90909185
7,-8.476271429,3.310262941
3,-6.174592233,-3.106355762
6,-5.267154901,7.957563364
1,-8.073667243,-4.660329145
0,-2.217560666,5.0347187
4,-1.601680111,0.760808901
4,-3.216134056,-0.429853578
1,-10.33503672,-4.628321203
0,-0.615255193,4.739033314
0,-2.772727945,5.194744904
7,-10.38326482,3.10392641
4,-2.623777109,1.721887864
3,-7.63476472,-3.873065318
4,-1.715689319,0.457015794
3,-7.235884691,-3.157796886
7,-10.50094434,3.026473081
5,-1.147378733,3.756924704
1,-8.691426169,-4.50958171
7,-9.075722411,4.06584897
5,-2.861151129,4.350075768
4,-2.051646942,-0.555287351
5,-1.586755777,2.554517306
5,-1.231877816,3.38166009
4,-1.737637389,-0.105413492
6,-5.834200321,7.75434507
4,0.244256987,0.358631265
1,-8.919664746,-2.419213793
2,-7.106162201,-8.350088218
1,-9.98226425,-4.339576598
2,-8.770622436,-8.072471899
2,-8.009043154,-7.868235099
1,-11.29450093,-2.844320784
1,-9.911829925,-3.124043486
0,-2.644980567,4.558934059
0,-2.33200237,5.92969901
3,-5.34469005,-3.220431406
1,-11.83119361,-5.701678811
4,-1.683947627,0.655510972
3,-5.229638648,-2.125816474
4,-0.815474087,0.979914461
5,-2.314415054,2.799352508
5,-1.073377393,3.987378748
6,-6.070197907,5.525994934
1,-9.591556889,-5.469002535
0,-1.27298638,3.86019131
7,-7.507837982,5.208443016
3,-5.954650237,-2.324157299
1,-9.982837693,-3.793879599
0,-3.145209045,3.604989843
4,-3.639115395,1.969665095
2,-7.265054809,-6.830083795
5,-0.380110502,3.229712497
6,-6.426296641,6.077573454
2,-6.178425679,-7.18910092
1,-10.85759524,-3.426029159
4,-2.686792576,1.804642208
4,-1.276070639,0.887264597
4,-0.874225929,0.951092195
2,-7.186196,-7.208931643
1,-10.89503032,-4.049463135
0,-2.241784925,5.217828071
1,-10.73793297,-3.303808384
4,-2.660353167,1.009463392
2,-7.206176489,-9.354910555
6,-6.923862477,7.25403488
6,-6.460371924,6.611793805
0,-0.580533814,4.573130645
5,-1.02914804,3.496053661
2,-6.730378922,-6.485519568
0,-0.946033727,3.845312212
3,-6.568250948,-3.116605735
6,-7.071172041,7.661153379
1,-9.743304363,-4.696836236
4,-3.908030928,1.211829964
3,-5.389184759,-3.592498739
3,-5.728902212,-3.752346124
6,-6.078257965,8.056828372
7,-9.520694006,3.115170733
2,-8.208296882,-7.898532124
4,-1.589495016,-0.628673222
2,-6.729671017,-8.286868927
6,-5.516537752,7.183361531
0,-2.895365494,4.690133322
4,-2.378274541,1.260269259
2,-5.817199346,-7.659911478
3,-6.181147722,-2.613582379
0,-1.402531313,5.203116917
5,-2.407866533,5.64230013
6,-7.367441144,9.23775732
7,-10.17633556,2.82742621
3,-5.415749673,-3.002613365
6,-5.649050917,8.529758502
3,-5.36967776,-2.770574965
0,-0.343662763,2.55236323
3,-6.229510395,-2.503494566
0,-1.613832927,3.833193787
6,-6.318749462,6.895481719
5,-0.428356391,4.526945741
0,-3.331743584,5.519037496
5,-2.180056412,4.399297718
3,-5.621800306,-3.380569257
6,-6.58203465,7.605594364
1,-10.50512236,-3.872630781
5,-1.345881403,3.317753901
2,-8.141157543,-5.897845848
3,-7.078177779,-3.233863947
2,-8.278708986,-6.980946122
3,-5.721542124,-3.402871231
2,-6.330442868,-8.70439438
0,0.054632932,5.406440898
7,-9.543490839,3.110360592
4,-2.954718527,-0.078542793
3,-7.021805659,-4.006353324
4,-2.405858165,2.39446211
5,-0.815974291,5.346726916
7,-9.98273484,3.805561258
5,-0.315208935,1.345479536
2,-4.075911303,-8.693430902
7,-9.910950003,3.790746291
0,-1.782360175,4.2993411
7,-9.770946131,3.546673545
1,-9.408590366,-3.99941815
7,-9.182202003,2.902224584
6,-5.470657731,6.557199696
3,-6.453839478,-2.817021418
1,-9.471530554,-3.661501728
3,-6.478879945,-4.496842528
4,-2.798643131,0.119400729
7,-10.1971637,4.276864341
3,-5.823509142,-3.519538126
5,-1.998594588,5.010901025
0,-1.375488453,2.586508775
7,-9.59646244,4.059402315
0,-2.687826284,4.092081419
2,-8.066974676,-8.213897127
0,-0.9297034,5.346487754
2,-8.277870631,-6.829562234
5,-0.9345144,3.638786987
7,-9.257457298,2.66825069
2,-6.195283407,-7.499902937
3,-6.155772771,-3.595698403
6,-5.609531376,9.09453577
4,-1.650846985,0.590636859
3,-5.367625943,-2.735684039
1,-9.008615804,-4.764819589
5,0.335033651,4.377557004
5,-1.618582368,4.906017203
7,-8.869610532,4.657493238
5,-1.310570687,3.968028021
7,-9.01168318,3.624266475
7,-8.237943226,2.261747725
4,-1.024914936,1.087786652
6,-4.727508297,7.545916946
4,-1.075830864,1.814226039
2,-6.0195862,-8.178004552
1,-11.57804558,-3.31003791
3,-4.651565689,-3.496057935
4,-2.269177774,0.121606181
2,-7.31945938,-8.392922301
1,-12.25350909,-5.856096077
1,-10.62892249,-4.436849269
5,-1.48167675,4.228268657
3,-5.871253187,-2.07599431
5,-3.560674916,4.070380092
4,-1.418255771,0.10477834
1,-10.1200921,-4.670891354
